teapot;Prediction;Difference;Specific Ratio;Average Ratio;Weighted Avg Ratio;Caratterizzante
teapot.png;2.90946997702;0.0;-1;-1;-1;1.0
(0, 0, 0, 255);7.0818297565;-4.17235977948;0.410836;0.906686;2.13000695053;0.192880085045
(113, 113, 113, 255);2.13802773505;0.771442241967;1.36082;1.98631;1.21391027736;1.12102154793
(142, 142, 142, 255);3.50146070123;-0.591990724206;0.83093;1.39312;1.11188324609;0.747317989668
(170, 170, 170, 255);1.685317792;1.22415218502;1.72636;1.31859;1.18748088168;1.45380262628
(198, 198, 198, 255);1.79427284747;1.11519712955;1.62153;1.05914;1.17316116326;1.38218987918
(227, 227, 227, 255);1.04137174785;1.86809822917;2.79388;2.00668;1.43356568958;1.94890415688
(255, 255, 255, 255);1.66575182229;1.24371815473;1.74664;1.67689;1.81392131754;0.96290873553
(28, 28, 28, 255);2.84277684987;0.0666931271553;1.02346;1.17995;1.04209429283;0.982118906544
(57, 57, 57, 255);1.31467794999;1.59479202703;2.21307;1.61338;1.14315209197;1.935933629
(85, 85, 85, 255);5.79761713743;-2.88814716041;0.501839;0.62674;1.61582313161;0.310577879895
